st,naz,pred,id_pr,gl,prc,tip_izv,zap_st,__municipality_id,__municipality_name
16016,Franc Leskovšek,SLOVENSKA LJUDSKA STRANKA,10543,295,1,1,1,154,Dobje
16016,Martin Brecl,SLOVENSKA LJUDSKA STRANKA,1463,604,0.604605,1,2,155,Dobrna
,Marjan Kardinar,Marko Kardinar in skupina volivcev,3358,368,1,1,1,156,Dobrovnik
,Franc Vovk,Damjan Vovk in skupina volivcev,91531,922,0.605384,1,1,157,Dolenjske Toplice
,Cvetka Ficko,Marjan Ficko in skupina volivcev,7094,582,0.50346,1,2,158,Grad
,mag. Stanislav Glažar,"SLOVENSKA DEMOKRATSKA STRANKA, SOCIALNI DEMOKRATI, SLOVENSKA LJUDSKA STRANKA",10146,996,0.574726,1,1,159,Hajdina
,dr. Marko Soršak,Znamo. Zmoremo! Marko Soršak.,2163,2981,0.791977,1,2,160,Hoče – Slivnica
,Denis Tamaško,Ernest Tamaško,6387,109,0.579787,1,1,161,Hodoš
17017,Janko Prebil,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,6032,468,1,1,1,162,Horjul
,Andrej Karničar,Irma Karničar Šenk in skupina volivcev - Jezersko za vse,5072,247,0.667568,1,1,163,Jezersko
,Jurij Kern,Tea Tašker Kern in skupina volivcev,94534,1257,0.575549,1,2,164,Komenda
,Nataša Turk,Miran Briški in skupina volivcev,95535,214,0.579946,1,1,165,Kostel
,Branko Slavinec,mag. Branko Belec in skupina volivcev,2720,1182,1,1,1,166,Križevci
,Marko Rakovnik,Blaž Kraner in skupina volivcev,7631,952,1,1,1,167,Lovrenc na Pohorju
14014,Milan Gabrovec,LIBERALNA DEMOKRACIJA SLOVENIJE,9609,1250,0.535791,1,2,168,Markovci
21021,mag. Egon Repnik,LISTA ZA SKUPNO OBČINO MIKLAVŽ NA D.P. ,5967,1810,0.680707,1,3,169,Miklavž na Dravskem polju
,Andrej Kastelic,DAMJAN ZUPANČIČ in skupina volilcev,3867,946,0.656944,1,2,170,Mirna Peč
,Matjaž Orter,MARTIN LESJAK IN SKUPINA VOLIVCEV,2751,1254,0.588456,1,3,171,Oplotnica
,mag. Sebastian Toplak,Janez Koren in skupina volivcev,8930,679,1,1,1,172,Podlehnik
,Jože Kužnik,Dušan Pungartnik in skupina volivcev,9779,1817,0.620984,1,1,173,Polzela
1001,mag. Marko Repnik,SOCIALNI DEMOKRATI,4632,1219,0.526339,1,2,174,Prebold
,dr. Matija Tasič,Marijana Petrič in skupina volivcev,1820,1779,0.522007,1,2,175,Prevalje
,Stanko Ivanušič,DEJAN ROB IN SKUPINA VOLIVCEV,5511,297,1,1,1,176,Razkrižje
1001,Srečko Geč,SOCIALNI DEMOKRATI,7535,388,0.54571,1,2,177,Ribnica na Pohorju
2002,dr. Vlasta Krmelj,SLOVENSKA DEMOKRATSKA STRANKA,5866,1221,1,1,1,178,Selnica ob Dravi
17017,mag. Blaž Milavec,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,5924,630,1,1,1,179,Sodražica
,Katarina Prelesnik,BERNARDKA IPAVEC IN SKUPINA VOLIVCEV,3440,219,1,1,1,180,Solčava
,Martin Breznik,Lista ZA Sveto Ano - Suzana Rejak Breznik in skupina volivcev ,8909,881,0.796564,1,1,181,Sveta Ana
,Darja Vudler Berlak,Neodvisna lista skupaj za ljudi! Mitja Berlak in skupina volivcev,4674,425,1,1,1,182,Sveti Andraž v Slovenskih goricah
,mag. Milan Turk,Pavel Černe in skupina volivcev,2767,1463,0.561397,1,1,183,Šempeter – Vrtojba
,Marko Semprimožnik,Urša Semprimožnik in skupina volivcev,10515,705,1,1,1,184,Tabor
16016,Alojz Benko,SLOVENSKA LJUDSKA STRANKA,2055,544,0.695652,1,1,185,Trnovska vas
,Peter Ložar,NUŠA REPŠE IN SKUPINA VOLIVCEV,1276,1237,0.81168,1,2,186,Trzin
,mag. Damijan Jaklin,Alojz Jerebic in skupina volivcev,8798,547,0.772599,1,1,187,Velika Polana
,Drago Legen,Slavko Petovar,98538,451,0.537545,1,2,188,Veržej
17017,Nataša Juhart,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,10587,897,0.615649,1,1,189,Vransko
1001,Janko Kos,Občinska organizacija Socialnih demokratov Žalec,3598,4586,0.636238,1,4,190,Žalec
,Anton Butolen,Janez Vogrinc in skupina volivcev,9345,402,1,1,1,191,Žetale
,Leopold Pogačar,"Miran Dolar in skupina volivcev ""Neodvisna lista za Žirovnico""",1563,1436,0.845203,1,1,192,Žirovnica
17017,Jože Papež,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,3031,1552,0.603421,1,3,193,Žužemberk
,Blaž Izlakar,Jernej Kotar in skupina volivcev,99539,1306,0.538113,1,1,194,Šmartno pri Litiji
2002,DR. ANDREJ STEYER,SLOVENSKA DEMOKRATSKA STRANKA,5262,1420,0.833823,1,2,195,Apače
,Antonija Žumbar,Mirko Lesjak in skupina volilcev,10120,794,0.695881,1,2,196,Cirkulane
,Robert Zagorc,Matej Kuhar in skupina volivcev,101541,822,0.573622,1,1,197,Kostanjevica na Krki
,Franc Majcen,Petra Majcen,1903,648,0.561039,1,2,198,Makole
,mag. Franc Glušič,Janez Bregant in skupina volivcev,104544,906,0.539928,1,2,199,Mokronog – Trebelno
,dr. Petra Vrhovnik,JANEZ VODUŠEK IN LISTA VOLIVCEV,7046,1348,0.691282,1,3,200,Poljčane
,Tarik Žigon,LISTA ZA VAS,1739,1237,0.579391,1,3,201,Renče – Vogrsko
,Toni Jelovica,MIHAELA VESENJAK IN SKUPINA VOLIVCEV,105545,578,0.500433,1,1,202,Središče ob Dravi
,Dušan Krštinc,Martin Krštinc in skupina volivcev RIOS,5257,1091,0.576334,1,2,203,Straža
17017,David Klobasa,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,6420,1064,0.847134,1,1,204,Sveta Trojica v Slovenskih goricah
17017,Mirko Cvetko mag.,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,2605,821,1,1,1,205,Sveti Tomaž
,mag. Marjan Hribar,Gašper Gregorčič in skupina volivcev,10876,1264,0.655942,1,2,206,Šmarješke Toplice
,Peter Torkar,Katjuša Torkar in skupina volivcev,5458,824,0.506454,1,1,207,Gorje
,Miran Stanovnik,Matija Nik in skupina volivcev,6294,1079,1,1,1,208,Log – Dragomer
17017,dr. Majda Potočnik,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,9099,576,0.55706,1,1,209,Rečica ob Savinji
2002,Peter Škrlec,SLOVENSKA DEMOKRATSKA STRANKA,5375,450,1,1,1,210,Sveti Jurij v Slovenskih goricah
,Tomaž Ramovš,Anton Rugelj in skupina volivcev,3772,661,0.510031,1,4,211,Šentrupert
,Dušan Skerbiš,Zoran Remic in skupina volivcev,2249,625,1,1,1,212,Mirna
,Gregor Strmčnik,Darij Dujmovič in skupina volilcev,2728,841,0.540488,1,2,213,Ankaran
