OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA BOROVNICA,Bojan Čebela,m,ULA ČEBELA IN SKUPINA VOLIVCEV,0
OBČINA TRŽIČ,Klemen Belhar,m,Uroš Ahačič in skupina volivcev,0
OBČINA VIPAVA,Nataša Nardin,ž,UROŠ JANEŽIČ IN SKUPINA VOLIVCEV,0
OBČINA KOMEN,Erik Modic,m,Valter Makovec in skupina volivcev,0
OBČINA GORNJI GRAD,Robert Remic,m,VESNA REMIC IN SKUPINA VOLIVCEV,0
OBČINA MISLINJA,Viktor Robnik,m,VIKTOR ROBNIK IN SKUPINA VOLIVCEV,0
OBČINA BOHINJ,Janez Režek,m,Vilko Gorenc in skupina volivcev,0
OBČINA BRASLOVČE,Janez Štusej,m,VINKO DRČA IN SKUPINA VOLIVCEV,0
OBČINA SVETA ANA,Silvo Slaček,m,Vinko Ketiš in skupina volivcev,0
OBČINA DOBROVA-POLHOV GRADEC,Andreja Grabner,ž,Vinko Kuder in skupina volivcev,0
OBČINA HRASTNIK,Jani Medvešek,m,"Vinko Žagar in skupina volivcev ""LISTA ZA NAŠO DOLINO""",0
OBČINA ČRNOMELJ,Andrej Kavšek,m,Vladimir Radovič in skupina volivcev,0
OBČINA MORAVSKE TOPLICE,Alojz Glavač,m,VLASTA GLAVAČ IN SKUPINA VOLIVCEV,0
OBČINA DOL PRI LJUBLJANI,Janez Tekavc,m,VOJKO MEKŠE IN SKUPINA VOLIVCEV,0
MESTNA OBČINA LJUBLJANA,Marko Koprivc,m,VOLILNA KONVENCIJA - OBČINSKE ORGANIZACIJE LJUBLJANA SOCIALNI DEMOKRATI-SD,0
OBČINA ZREČE,Milan Potočnik,m,VOLILNA KONVENCIJA OBČINSKE ORGANIZACIJE SD ZREČE,0
OBČINA BRASLOVČE,Branimir Strojanšek,m,VOLILNA KONVENCIJA OBČINSKE ORGANIZACIJE SOCIALNIH DEMOKRATOV BRASLOVČE,0
MESTNA OBČINA PTUJ,Nuška Gajšek,ž,Volilna konvencija občinske organizacije Socialnih demokratov Ptuj,0
OBČINA RUŠE,Martin Lesjak,m,VOLILNA KONVENCIJA OBČINSKE ORGANIZACIJE SOCIALNIH DEMOKRATOV RUŠE,0
OBČINA ŽALEC,Janko Kos,m,Volilna konvencija Občinske organizacije socialnih demokratov Žalec,0
OBČINA AJDOVŠČINA,Tadej Beočanin,m,VOLILNA KONVENCIJA OO SD AJDOVŠČINA,0
OBČINA RADLJE OB DRAVI,Alan Bukovnik,m,VOLILNA KONVENCIJA OO SD RADLJE OB DRAVI,0
OBČINA PREBOLD,Vinko Debelak,m,"VOLILNA KONVENCIJA SOCIALNIH DEMOKRATOV PREBOLD, KONFERENCA OO DESUS PREBOLD, ZBOR ČLANOV SMC PREBOLD",0
MESTNA OBČINA PTUJ,Robert Križanič,m,Volilni štab MO STRANKA MLADIH - ZELENI EVROPE,0
OBČINA ČRENŠOVCI,Anton Törnar,m,"Volilni zbor članstva OO SLS Črenšovci, SLS - SLOVENSKA LJUDSKA STRANKA",0
OBČINA SEMIČ,Polona Kambič,ž,VOLILNI ZBOR ČLANSTVA OO SLS SEMIČ,0
MESTNA OBČINA CELJE,Matevž Vuga,m,ZBOR ČLANIC IN ČLANOV LOKALNEGA ODBORA SMC CELJE,0
MESTNA OBČINA NOVO MESTO,Jože Kobe,m,Zbor članov GAS MO Novo mesto,0
OBČINA SEŽANA,Jožko Čuk,m,ZBOR ČLANOV LO SMC OBČINE SEŽANA,0
MESTNA OBČINA VELENJE,Matej Jenko,m,ZBOR ČLANOV MO DOBRA DRŽAVA VELENJE,0
OBČINA SEŽANA,Claudio Merslavič,m,ZBOR ČLANOV OBČINSKEGA ODBORA DOBRA DRŽAVA SEŽANA,0
OBČINA KOMEN,Dean Zalesjak,m,ZBOR ČLANOV OO STRANKE ALENKE BRATUŠEK,0
OBČINA BRASLOVČE,Slavko Šketa,m,ZBOR ČLANOV SMC BRASLOVČE,0
MESTNA OBČINA LJUBLJANA,Dragan Matić,m,ZBOR ČLANOV SMC LJUBLJANA,0
MESTNA OBČINA PTUJ,Dejan Dokl,m,Zbor članov stranke SMC Občine Ptuj,0
OBČINA RENČE-VOGRSKO,Rajko Lasič,m,Združenje SKUPAJ,0
OBČINA ODRANCI,Ivan Markoja,m,ZELENI SLOVENIJE,0
OBČINA GORNJA RADGONA,Milan Herzog,m,ZELENI SLOVENIJE,0
MESTNA OBČINA MARIBOR,Rok Zalar,m,ZELENI SLOVENIJE,0
OBČINA DORNAVA,Stanislav Ciglar,m,ZELENI SLOVENIJE,0
MESTNA OBČINA LJUBLJANA,Tomaž Ogrin,m,ZELENI SLOVENIJE - ZBOR ČLANOV,0
OBČINA OSILNICA,Antun Volf,m,Željko knaus in skupina volivcev,0
OBČINA ZAGORJE OB SAVI,Matjaž Švagan,m,ZGN - ZAGORJE GRE NAPREJ - ZDRUŽENJE ZA NAPREDEK ZASAVJA,0
OBČINA RIBNICA,Aleš Hoge,m,ZL-DSD - ZDRUŽENA LEVICA-DEMOKRATIČNA STRANKA DELA,0
OBČINA HRASTNIK,Franc Bokal,m,ZL-DSD - ZDRUŽENA LEVICA-DEMOKRATIČNA STRANKA DELA,0
OBČINA DORNAVA,Franc Šuen,m,ZL-DSD - ZDRUŽENA LEVICA-DEMOKRATIČNA STRANKA DELA,0
OBČINA TREBNJE,Gregor Kaplan,m,ZL-DSD - ZDRUŽENA LEVICA-DEMOKRATIČNA STRANKA DELA,0
OBČINA HOČE-SLIVNICA,Marko Soršak,m,Znamo.Zmoremo! Marko Soršak.,0
OBČINA JESENICE,Blaž Račič,m,ZORAN RAČIČ IN SKUPINA VOLIVCEV,0
OBČINA MIREN-KOSTANJEVICA,Mauricij Humar,m,Zorko Budin in skupina volivcev,0
MESTNA OBČINA MARIBOR,Andrej Šiško,m,ZSI - GIBANJE ZEDINJENA SLOVENIJA,0
OBČINA KOZJE,Anica Bidar,ž,ZSI - GIBANJE ZEDINJENA SLOVENIJA,0
OBČINA ŠENTJUR,Marko Diaci,m,ŽUPANOVA LISTA - GIBANJE ZA OBČINO ŠENTJUR,0
MESTNA OBČINA NOVA GORICA,Miran Műllner,m,ZVEZA ZA PRIMORSKO - ZZP,0
OBČINA POSTOJNA,Jernej Verbič,m,ZVONKO ČERNAČ IN SKUPINA VOLIVCEV,0
