OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
OBČINA KOBARID,Robert Kavčič,m,Ivan Ručna in skupina volivcev,0
OBČINA ŠALOVCI,Iztok Fartek,m,Ivanka Balek in skupina volivcev,0
OBČINA JEZERSKO,Andrej Karničar,m,Izidor Karničar,0
OBČINA CERKLJE NA GORENJSKEM,Franc Čebulj,m,Iztok Čebulj in skupina volivcev,0
MESTNA OBČINA PTUJ,Štefan Čelan,m,Iztok Uhan in skupina volivcev,0
OBČINA PIVKA,Damijan Kapelj,m,IZTOK ZADNIK IN SKUPINA VOLIVCEV,0
OBČINA TRBOVLJE,Jasna Gabrič,ž,Izvršni odbor stranke Lista Jasne Gabrič za Trbovlje,0
OBČINA MENGEŠ,Peter Gubanc,m,IZVRŠNI ODBOR STRANKE SKUPAJ ZA MENGEŠKO OBČINO - SKUPAJ ZMOREMO VEČ,0
OBČINA ANKARAN,Ivan Klun,m,Jadran Pišot in skupina volivcev,0
OBČINA PODČETRTEK,Peter Misja,m,Jana Stojnšek in skupina volivcev,0
OBČINA LOŠKI POTOK,Ivan Benčina,m,Janez Debeljak in skupina volivcev,0
OBČINA ŠENTRUPERT,Nataša Hribar,ž,Janez Hribar in skupina volivcev,0
OBČINA PODLEHNIK,Sebastian Toplak,m,Janez Koren in skupina volivcev,0
OBČINA DOBREPOLJE,Janez Pavlin,m,Janez Pavlin in skupina volivcev,0
OBČINA MORAVČE,Milan Balažic,m,Janez Pergar in skupina volivcev,0
OBČINA POLJČANE,Maja Bračko,ž,Janez Šabec in skupina volivcev,0
OBČINA GORNJI PETROVCI,Franc Šlihthuber,m,Janez Šlihthuber in skupina volivcev,0
OBČINA DOBROVA-POLHOV GRADEC,Franc Setnikar,m,Janko Dolinar in skupina volivcev,0
OBČINA CANKOVA,Valentin Trajbar,m,Janko Durič in skupina volivcev,0
OBČINA ŠEMPETER-VRTOJBA,Dušan Bremec,m,Jasmina Bremec s skupino volivcev,0
